Property URL,MLS ID,Listing description,Property type,Number of days on Zillow,Property price (USD),Price was cut,Price cut amount (USD),Price cut date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country
https://www.zillow.com/homedetails/3000-Royal-Marco-Way-UNIT-311-Marco-Island-FL-34145/54198918_zpid/,,Condo for sale,Condominium,140,1389000,Yes,10000.0,06/29/2024,2443.0,sqft,568.56,,,2.0,3.0,3000 Royal Marco Way UNIT 311,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/140-Seaview-Ct-APT-1704N-Marco-Island-FL-34145/43738310_zpid/,,Condo for sale,Condominium,139,559000,No,,,610.0,sqft,916.39,,,1.0,2.0,140 Seaview Ct APT 1704N,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/140-Seaview-Ct-APT-1504-Marco-Island-FL-34145/43738293_zpid/,,Condo for sale,Condominium,181,564900,No,,,610.0,sqft,926.07,0.0,sqft,1.0,2.0,140 Seaview Ct APT 1504,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/300-Stevens-Landing-Dr-C-403-Marco-Island-FL-34145/402338061_zpid/,,Condo for sale,Condominium,49,469000,Yes,30000.0,08/27/2024,950.0,sqft,493.68,,,2.0,2.0,300 Stevens Landing Dr #C-403,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/1842-Menorca-Ct-2-Marco-Island-FL-34145/2101830802_zpid/,,New construction,Single Family,269,5976000,No,,,4536.0,sqft,1317.46,,,4.0,6.0,1842 Menorca Ct #2,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/990-Cape-Marco-Dr-UNIT-703-Marco-Island-FL-34145/43778041_zpid/,,Condo for sale,Condominium,299,1300000,Yes,150000.0,03/21/2024,1425.0,sqft,912.28,,,2.0,2.0,990 Cape Marco Dr UNIT 703,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/845-Collier-Ct-APT-204-Marco-Island-FL-34145/54204365_zpid/,,Condo for sale,Condominium,140,899000,Yes,76000.0,05/28/2024,1660.0,sqft,541.57,0.0,sqft,2.0,3.0,845 Collier Ct APT 204,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/908-Panama-Ct-303-Marco-Island-FL-34145/89743542_zpid/,,Condo for sale,Condominium,191,2200000,Yes,200000.0,04/10/2024,2866.0,sqft,767.62,,,3.0,4.0,908 Panama Ct #303,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/1024-Anglers-Cv-C510-Marco-Island-FL-34145/54162556_zpid/,,Condo for sale,Condominium,106,400000,Yes,5000.0,08/20/2024,732.0,sqft,546.45,,,1.0,1.0,1024 Anglers Cv #C510,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/180-Seaview-Ct-APT-105-Marco-Island-FL-34145/54203975_zpid/,,Condo for sale,Condominium,62,650000,No,,,597.0,sqft,1088.78,,,1.0,2.0,180 Seaview Ct APT 105,Marco Island,34145,FL,USA
